result_id,event_title,edition_id,sport
332092,"Welterweight, Greco-Roman (≤66 kilograms), Men",54,Wrestling
154547,"Team Pursuit, 4,000 metres, Men",21,Cycling Track
155175,"Road Race, Individual, Women",26,Cycling Road
900840,"Frontenis, Doubles (frontón 30 metres), Men",23,Basque pelota
312042,"Football, Women",54,Football
316309,"Lightweight (≤57 kilograms), Women",54,Judo
256033,"Canadian Singles, Slalom, Men",23,Canoe Slalom
10223,"Two Person Keelboat (Star), Open",22,Sailing
26459,"Heavyweight (≤91 kilograms), Men",23,Boxing
357646,"Épée, Individual, Men",59,Fencing
65109,"10,000 metres, Women",24,Athletics
155008,"Individual Time Trial, Men",25,Cycling Road
257228,"10,000 metres, Men",53,Athletics
65373,"800 metres, Men",25,Athletics
154756,"100 kilometres Team Time Trial, Men",23,Cycling Road
396300,"Water Polo, Men",59,Water Polo
10589,"Two Person Keelboat (Star), Open",24,Sailing
8318,"4 x 100 metres Medley Relay, Women",24,Swimming
65440,"3,000 metres Steeplechase, Men",25,Athletics
10346,"Windsurfer (Lechner A-390), Women",23,Sailing
64721,"5,000 metres, Men",24,Athletics
257659,"20 kilometres Race Walk, Women",53,Athletics
256092,"Kayak Doubles, 500 metres, Men",24,Canoe Sprint
7814,"50 metres Freestyle, Women",23,Swimming
62669,"400 metres, Men",21,Athletics
358506,"Hockey, Women",59,Hockey
26533,"Light-Flyweight (≤48 kilograms), Men",24,Boxing
26089,"Light-Flyweight (≤48 kilograms), Men",23,Boxing
256068,"Kayak Singles, 500 metres, Men",24,Canoe Sprint
8592,"400 metres Freestyle, Women",25,Swimming
357269,"100 metres Butterfly, Women",59,Swimming
115914,"Épée, Individual, Men",25,Fencing
19004456,"Welterweight (≤67 kilograms), Women",61,Taekwondo
51757,"Rapid-Fire Pistol, 25 metres, Men",21,Shooting
15731,"Extra-Lightweight (≤60 kilograms), Men",20,Judo
324142,"Doubles, Men",54,Tennis
133209,"Light-Heavyweight, Freestyle (≤85 kilograms), Men",25,Wrestling
158882,"Coxless Pairs, Women",20,Rowing
64653,"200 metres, Men",24,Athletics
322095,"100 metres Backstroke, Men",54,Swimming
355266,"Welterweight, Freestyle (≤65 kilograms), Men",59,Wrestling
10301,"Windsurfer (Lechner A-390), Men",23,Sailing
302514,"High Jump, Women",54,Athletics
19005015,"Madison, Men",61,Cycling Track
332460,"Middleweight, Freestyle (≤74 kilograms), Men",54,Wrestling
19000194,"200 metres Freestyle, Women",61,Swimming
65094,"1,500 metres, Women",24,Athletics
261399,"Trap, Men",53,Shooting
7033,"200 metres Breaststroke, Men",21,Swimming
15779,"Half-Lightweight (≤65 kilograms), Men",20,Judo
